SlNo,SIGNAL_NAME,SIGNAL_STATUS,SIGNAL_TIME
1,102BTPR,Up,05/15/2025 00:12:18:578
2,102BTPR,Down,05/15/2025 00:12:23:109
3,102BTPR,Up,05/15/2025 00:12:27:531
4,102NDKR,Down,05/15/2025 00:17:52:234
5,102RDKR,Up,05/15/2025 00:17:55:281
6,102RDKR,Down,05/15/2025 00:18:09:421
7,102NDKR,Up,05/15/2025 00:18:12:437
8,UD_GDRA.BPAC_VPR2,Up,05/15/2025 00:18:22:406
9,UD_GDRA.BPAC_VPR1,Up,05/15/2025 00:18:23:312
10,UD_GDRA.BPAC_VPR,Up,05/15/2025 00:18:23:468
11,104NDKR,Down,05/15/2025 00:18:38:015
12,104RDKR,Up,05/15/2025 00:18:41:031
13,104RDKR,Down,05/15/2025 00:18:49:750
14,104NDKR,Up,05/15/2025 00:18:52:765
15,UD_STBD.BPAC_VPR1,Down,05/15/2025 01:51:24:421
16,UD_STBD.BPAC_VPR2,Down,05/15/2025 01:51:24:656
17,C01TPR,Down,05/15/2025 02:22:41:671
18,H01TPR,Down,05/15/2025 02:22:49:203
19,16TPR,Down,05/15/2025 02:22:57:562
20,04_14TPR,Down,05/15/2025 02:23:05:296
21,101ATPR,Down,05/15/2025 02:23:17:875
22,103BTPR,Down,05/15/2025 02:23:28:562
23,111CTPR,Down,05/15/2025 02:23:41:171
24,C01TPR,Up,05/15/2025 02:23:46:281
25,H01TPR,Up,05/15/2025 02:23:53:406
26,UD_STBD.BPAC_VPR2,Up,05/15/2025 02:23:58:093
27,UD_STBD.BPAC_VPR1,Up,05/15/2025 02:23:58:140
28,111BTPR,Down,05/15/2025 02:23:59:796
29,16TPR,Up,05/15/2025 02:23:59:921
30,OMATPR,Down,05/15/2025 02:24:08:593
31,OMTPR,Down,05/15/2025 02:24:08:593
32,04_14TPR,Up,05/15/2025 02:24:11:265
33,101ATPR,Up,05/15/2025 02:24:20:875
34,OMBTPR,Down,05/15/2025 02:24:27:203
35,103BTPR,Up,05/15/2025 02:24:32:265
36,OMCTPR,Down,05/15/2025 02:24:45:359
37,111CTPR,Up,05/15/2025 02:24:49:140
38,111BTPR,Up,05/15/2025 02:24:57:125
39,104BTPR,Down,05/15/2025 02:25:03:265
40,OMATPR,Up,05/15/2025 02:25:13:828
41,102BTPR,Down,05/15/2025 02:25:14:296
42,03_13TPR,Down,05/15/2025 02:25:18:281
43,15TPR,Down,05/15/2025 02:25:27:890
44,UD_GDRA.BPAC_VPR1,Down,05/15/2025 02:25:29:671
45,UD_GDRA.BPAC_VPR2,Down,05/15/2025 02:25:29:781
46,OMBTPR,Up,05/15/2025 02:25:30:000
47,UD_GDRA.BPAC_VPR,Down,05/15/2025 02:25:30:796
48,H02TPR,Down,05/15/2025 02:25:33:546
49,C02TPR,Down,05/15/2025 02:25:39:062
50,OMCTPR,Up,05/15/2025 02:25:46:546
51,OMTPR,Up,05/15/2025 02:25:46:640
52,104BTPR,Up,05/15/2025 02:25:56:875
53,102BTPR,Up,05/15/2025 02:26:00:968
54,03_13TPR,Up,05/15/2025 02:26:10:406
55,15TPR,Up,05/15/2025 02:26:16:031
56,H02TPR,Up,05/15/2025 02:26:21:515
57,C02TPR,Up,05/15/2025 02:26:26:203
58,UD_GDRA.BPAC_VPR2,Up,05/15/2025 02:50:27:968
59,UD_GDRA.BPAC_VPR1,Up,05/15/2025 02:50:29:187
60,UD_GDRA.BPAC_VPR,Up,05/15/2025 02:50:29:187
61,UD_GDRA.BPAC_VPR1,Down,05/15/2025 03:17:13:968
62,UD_GDRA.BPAC_VPR2,Down,05/15/2025 03:17:14:312
63,UD_GDRA.BPAC_VPR,Down,05/15/2025 03:17:15:578
64,C02TPR,Down,05/15/2025 03:42:45:921
65,H02TPR,Down,05/15/2025 03:42:52:015
66,15TPR,Down,05/15/2025 03:42:58:890
67,03_13TPR,Down,05/15/2025 03:43:05:718
68,102BTPR,Down,05/15/2025 03:43:17:031
69,104BTPR,Down,05/15/2025 03:43:21:312
70,OMTPR,Down,05/15/2025 03:43:32:718
71,OMCTPR,Down,05/15/2025 03:43:32:734
72,C02TPR,Up,05/15/2025 03:43:41:000
73,H02TPR,Up,05/15/2025 03:43:46:968
74,OMBTPR,Down,05/15/2025 03:43:50:750
75,UD_GDRA.BPAC_VPR2,Up,05/15/2025 03:43:51:531
76,UD_GDRA.BPAC_VPR1,Up,05/15/2025 03:43:51:718
77,UD_GDRA.BPAC_VPR,Up,05/15/2025 03:43:52:812
78,15TPR,Up,05/15/2025 03:43:53:125
79,03_13TPR,Up,05/15/2025 03:44:03:656
80,102BTPR,Up,05/15/2025 03:44:08:125
81,OMATPR,Down,05/15/2025 03:44:08:500
82,104BTPR,Up,05/15/2025 03:44:19:859
83,111BTPR,Down,05/15/2025 03:44:26:703
84,111CTPR,Down,05/15/2025 03:44:35:328
85,OMCTPR,Up,05/15/2025 03:44:39:296
86,103BTPR,Down,05/15/2025 03:44:53:531
87,OMBTPR,Up,05/15/2025 03:44:58:640
88,101ATPR,Down,05/15/2025 03:45:05:718
89,04_14TPR,Down,05/15/2025 03:45:15:937
90,OMATPR,Up,05/15/2025 03:45:18:562
91,OMTPR,Up,05/15/2025 03:45:18:640
92,16TPR,Down,05/15/2025 03:45:27:703
93,111BTPR,Up,05/15/2025 03:45:27:875
94,UD_STBD.BPAC_VPR1,Down,05/15/2025 03:45:29:828
95,UD_STBD.BPAC_VPR2,Down,05/15/2025 03:45:29:890
96,H01TPR,Down,05/15/2025 03:45:34:671
97,C01TPR,Down,05/15/2025 03:45:41:921
98,111CTPR,Up,05/15/2025 03:45:46:921
99,103BTPR,Up,05/15/2025 03:45:59:671
100,101ATPR,Up,05/15/2025 03:46:10:468
101,04_14TPR,Up,05/15/2025 03:46:22:921
102,16TPR,Up,05/15/2025 03:46:30:265
103,H01TPR,Up,05/15/2025 03:46:38:625
104,C01TPR,Up,05/15/2025 03:46:45:359
105,UD_STBD.BPAC_VPR2,Up,05/15/2025 04:15:29:968
106,UD_STBD.BPAC_VPR1,Up,05/15/2025 04:15:30:421
107,UD_STBD.BPAC_VPR1,Down,05/15/2025 07:35:41:703
108,UD_STBD.BPAC_VPR2,Down,05/15/2025 07:35:42:250
109,105NDKR,Down,05/15/2025 08:04:07:140
110,103NDKR,Down,05/15/2025 08:04:07:156
111,105RDKR,Up,05/15/2025 08:04:10:375
112,103RDKR,Up,05/15/2025 08:04:10:921
113,C01TPR,Down,05/15/2025 08:05:21:843
114,H01TPR,Down,05/15/2025 08:05:31:187
115,16TPR,Down,05/15/2025 08:05:42:062
116,04_14TPR,Down,05/15/2025 08:05:52:890
117,101ATPR,Down,05/15/2025 08:06:12:859
118,103BTPR,Down,05/15/2025 08:06:32:359
119,103ATPR,Down,05/15/2025 08:06:46:343
120,105BTPR,Down,05/15/2025 08:07:02:953
121,C01TPR,Up,05/15/2025 08:07:13:312
122,105ATPR,Down,05/15/2025 08:07:27:734
123,H01TPR,Up,05/15/2025 08:07:40:984
124,107BTPR,Down,05/15/2025 08:07:43:515
125,UD_STBD.BPAC_VPR2,Up,05/15/2025 08:07:58:656
126,UD_STBD.BPAC_VPR1,Up,05/15/2025 08:07:58:968
127,03ATPR,Down,05/15/2025 08:08:00:687
128,03TPR,Down,05/15/2025 08:08:00:718
129,16TPR,Up,05/15/2025 08:08:04:765
130,04_14TPR,Up,05/15/2025 08:08:46:437
131,101ATPR,Up,05/15/2025 08:09:31:484
132,103BTPR,Up,05/15/2025 08:09:51:828
133,03BTPR,Down,05/15/2025 08:09:57:781
134,103ATPR,Up,05/15/2025 08:10:12:000
135,105BTPR,Up,05/15/2025 08:10:41:187
136,105ATPR,Up,05/15/2025 08:11:02:078
137,03CTPR,Down,05/15/2025 08:11:23:390
138,107BTPR,Up,05/15/2025 08:11:26:078
139,105RDKR,Down,05/15/2025 08:11:35:671
140,105NDKR,Up,05/15/2025 08:11:39:140
141,103RDKR,Down,05/15/2025 08:11:42:625
142,103NDKR,Up,05/15/2025 08:11:46:125
143,UD_GDRA.BPAC_VPR2,Down,05/15/2025 08:27:22:765
144,UD_GDRA.BPAC_VPR1,Down,05/15/2025 08:27:22:812
145,UD_GDRA.BPAC_VPR,Down,05/15/2025 08:27:23:875
146,C02TPR,Down,05/15/2025 08:52:23:687
147,H02TPR,Down,05/15/2025 08:52:33:281
148,15TPR,Down,05/15/2025 08:52:44:765
149,03_13TPR,Down,05/15/2025 08:52:56:046
150,102BTPR,Down,05/15/2025 08:53:15:625
151,104BTPR,Down,05/15/2025 08:53:23:984
152,OMTPR,Down,05/15/2025 08:53:47:406
153,OMCTPR,Down,05/15/2025 08:53:47:421
154,C02TPR,Up,05/15/2025 08:53:59:843
155,H02TPR,Up,05/15/2025 08:54:12:906
156,UD_GDRA.BPAC_VPR2,Up,05/15/2025 08:54:22:593
157,UD_GDRA.BPAC_VPR1,Up,05/15/2025 08:54:22:796
158,UD_GDRA.BPAC_VPR,Up,05/15/2025 08:54:23:640
159,OMBTPR,Down,05/15/2025 08:54:26:078
160,15TPR,Up,05/15/2025 08:54:26:156
161,03_13TPR,Up,05/15/2025 08:54:49:546
162,102BTPR,Up,05/15/2025 08:54:59:375
163,OMATPR,Down,05/15/2025 08:55:04:890
164,104BTPR,Up,05/15/2025 08:55:23:531
165,111BTPR,Down,05/15/2025 08:55:41:031
166,111CTPR,Down,05/15/2025 08:55:56:671
167,OMCTPR,Up,05/15/2025 08:55:59:625
168,103BTPR,Down,05/15/2025 08:56:27:281
169,OMBTPR,Up,05/15/2025 08:56:31:515
170,101ATPR,Down,05/15/2025 08:56:45:906
171,04_14TPR,Down,05/15/2025 08:57:00:562
172,OMATPR,Up,05/15/2025 08:57:00:609
173,OMTPR,Up,05/15/2025 08:57:00:703
174,111BTPR,Up,05/15/2025 08:57:13:140
175,16TPR,Down,05/15/2025 08:57:16:359
176,UD_STBD.BPAC_VPR1,Down,05/15/2025 08:57:19:046
177,UD_STBD.BPAC_VPR2,Down,05/15/2025 08:57:19:140
178,H01TPR,Down,05/15/2025 08:57:25:265
179,C01TPR,Down,05/15/2025 08:57:34:218
180,111CTPR,Up,05/15/2025 08:57:37:296
181,103BTPR,Up,05/15/2025 08:57:52:281
182,101ATPR,Up,05/15/2025 08:58:04:343
183,04_14TPR,Up,05/15/2025 08:58:17:687
184,16TPR,Up,05/15/2025 08:58:25:421
185,H01TPR,Up,05/15/2025 08:58:33:781
186,C01TPR,Up,05/15/2025 08:58:40:640
187,104NDKR,Down,05/15/2025 09:01:01:703
188,104RDKR,Up,05/15/2025 09:01:04:687
189,UD_GDRA.BPAC_VPR1,Down,05/15/2025 09:02:12:296
190,UD_GDRA.BPAC_VPR2,Down,05/15/2025 09:02:12:500
191,UD_GDRA.BPAC_VPR,Down,05/15/2025 09:02:13:500
192,C02TPR,Down,05/15/2025 09:19:00:484
193,H02TPR,Down,05/15/2025 09:19:05:109
194,15TPR,Down,05/15/2025 09:19:10:484
195,03_13TPR,Down,05/15/2025 09:19:16:031
196,C02TPR,Up,05/15/2025 09:19:21:515
197,102BTPR,Down,05/15/2025 09:19:26:093
198,H02TPR,Up,05/15/2025 09:19:27:953
199,104BTPR,Down,05/15/2025 09:19:31:781
200,UD_GDRA.BPAC_VPR2,Up,05/15/2025 09:19:34:781
201,UD_GDRA.BPAC_VPR1,Up,05/15/2025 09:19:35:000
202,UD_GDRA.BPAC_VPR,Up,05/15/2025 09:19:36:125
203,15TPR,Up,05/15/2025 09:19:37:671
204,104ATPR,Down,05/15/2025 09:19:40:968
205,01CTPR,Down,05/15/2025 09:19:52:015
206,01TPR,Down,05/15/2025 09:19:52:015
207,03_13TPR,Up,05/15/2025 09:19:56:875
208,102BTPR,Up,05/15/2025 09:20:05:109
209,104BTPR,Up,05/15/2025 09:20:15:218
210,106NDKR,Down,05/15/2025 09:20:17:125
211,106RDKR,Up,05/15/2025 09:20:20:203
212,104ATPR,Up,05/15/2025 09:20:26:843
213,01BTPR,Down,05/15/2025 09:20:27:468
214,104RDKR,Down,05/15/2025 09:20:33:359
215,104NDKR,Up,05/15/2025 09:20:36:437
216,102NDKR,Down,05/15/2025 09:20:37:015
217,102RDKR,Up,05/15/2025 09:20:40:062
218,01ATPR,Down,05/15/2025 09:21:01:671
219,01CTPR,Up,05/15/2025 09:21:04:015
220,108BTPR,Down,05/15/2025 09:21:21:578
221,106ATPR,Down,05/15/2025 09:21:46:953
222,108BTPR,Up,05/15/2025 09:21:51:218
223,106BTPR,Down,05/15/2025 09:22:00:687
224,106ATPR,Up,05/15/2025 09:22:04:781
225,102ATPR,Down,05/15/2025 09:22:14:843
226,106BTPR,Up,05/15/2025 09:22:19:578
227,102BTPR,Down,05/15/2025 09:22:32:375
228,102ATPR,Up,05/15/2025 09:22:36:765
229,03_13TPR,Down,05/15/2025 09:22:51:312
230,102BTPR,Up,05/15/2025 09:22:56:109
231,102RDKR,Down,05/15/2025 09:23:03:921
232,102NDKR,Up,05/15/2025 09:23:06:984
233,UD_STBD.BPAC_VPR2,Up,05/15/2025 09:24:37:828
234,UD_STBD.BPAC_VPR1,Up,05/15/2025 09:24:38:250
235,102BTPR,Down,05/15/2025 09:24:57:750
236,03_13TPR,Up,05/15/2025 09:25:02:031
237,104BTPR,Down,05/15/2025 09:25:14:218
238,102BTPR,Up,05/15/2025 09:25:18:781
239,OMTPR,Down,05/15/2025 09:25:57:328
240,OMCTPR,Down,05/15/2025 09:25:57:343
241,104BTPR,Up,05/15/2025 09:26:02:531
242,111NDKR,Down,05/15/2025 09:26:17:453
243,111RDKR,Up,05/15/2025 09:26:20:343
244,OMBTPR,Down,05/15/2025 09:27:17:828
245,OMCTPR,Up,05/15/2025 09:27:23:078
246,111ATPR,Down,05/15/2025 09:29:31:828
247,01BTPR,Up,05/15/2025 09:29:32:859
248,111BTPR,Down,05/15/2025 09:29:39:625
249,111CTPR,Down,05/15/2025 09:29:46:984
250,01ATPR,Up,05/15/2025 09:30:06:421
251,01TPR,Up,05/15/2025 09:30:06:515
252,111ATPR,Up,05/15/2025 09:30:14:312
253,103BTPR,Down,05/15/2025 09:30:19:000
254,111BTPR,Up,05/15/2025 09:30:21:890
255,101ATPR,Down,05/15/2025 09:30:35:953
256,111CTPR,Up,05/15/2025 09:30:43:500
257,04_14TPR,Down,05/15/2025 09:30:44:906
258,103BTPR,Up,05/15/2025 09:30:52:671
259,16TPR,Down,05/15/2025 09:30:53:187
260,UD_STBD.BPAC_VPR1,Down,05/15/2025 09:30:54:656
261,UD_STBD.BPAC_VPR2,Down,05/15/2025 09:30:54:671
262,H01TPR,Down,05/15/2025 09:30:57:593
263,101ATPR,Up,05/15/2025 09:30:59:265
264,C01TPR,Down,05/15/2025 09:31:01:906
265,04_14TPR,Up,05/15/2025 09:31:06:250
266,16TPR,Up,05/15/2025 09:31:10:078
267,111RDKR,Down,05/15/2025 09:31:10:718
268,111NDKR,Up,05/15/2025 09:31:13:640
269,H01TPR,Up,05/15/2025 09:31:14:562
270,C01TPR,Up,05/15/2025 09:31:17:625
271,109NDKR,Down,05/15/2025 09:31:58:875
272,109RDKR,Up,05/15/2025 09:32:01:968
273,107NDKR,Down,05/15/2025 09:32:03:968
274,107RDKR,Up,05/15/2025 09:32:07:031
275,105NDKR,Down,05/15/2025 09:32:09:406
276,105RDKR,Up,05/15/2025 09:32:12:656
277,OMATPR,Down,05/15/2025 09:32:25:937
278,OMBTPR,Up,05/15/2025 09:32:31:015
279,111BTPR,Down,05/15/2025 09:33:42:312
280,OMATPR,Up,05/15/2025 09:33:46:390
281,OMTPR,Up,05/15/2025 09:33:46:484
282,111CTPR,Down,05/15/2025 09:34:10:734
283,111CTPR,Up,05/15/2025 09:34:10:750
284,111CTPR,Down,05/15/2025 09:34:10:765
285,111BTPR,Up,05/15/2025 09:34:14:953
286,103BTPR,Down,05/15/2025 09:35:11:984
287,111CTPR,Up,05/15/2025 09:35:16:265
288,101ATPR,Down,05/15/2025 09:35:50:765
289,103BTPR,Up,05/15/2025 09:35:55:734
290,04_14TPR,Down,05/15/2025 09:36:26:812
291,101ATPR,Up,05/15/2025 09:36:31:453
292,103NDKR,Down,05/15/2025 09:36:51:484
293,103RDKR,Up,05/15/2025 09:36:55:250
294,101ATPR,Down,05/15/2025 09:38:51:000
295,04_14TPR,Up,05/15/2025 09:38:55:625
296,103BTPR,Down,05/15/2025 09:39:28:640
297,101ATPR,Up,05/15/2025 09:39:34:687
298,103ATPR,Down,05/15/2025 09:39:52:218
299,105BTPR,Down,05/15/2025 09:40:14:765
300,103ATPR,Up,05/15/2025 09:40:19:250
301,105ATPR,Down,05/15/2025 09:40:41:531
302,105BTPR,Up,05/15/2025 09:40:46:546
303,107BTPR,Down,05/15/2025 09:40:56:609
304,105ATPR,Up,05/15/2025 09:41:01:421
305,107ATPR,Down,05/15/2025 09:41:11:125
306,107BTPR,Up,05/15/2025 09:41:16:375
307,107ATPR,Up,05/15/2025 09:41:29:828
308,UD_STBD.BPAC_VPR1,Up,05/15/2025 09:47:41:625
309,UD_STBD.BPAC_VPR2,Up,05/15/2025 09:47:42:031
310,UD_STBD.BPAC_VPR2,Down,05/15/2025 09:51:09:000
311,UD_STBD.BPAC_VPR1,Down,05/15/2025 09:51:09:437
312,105RDKR,Down,05/15/2025 09:52:18:937
313,105NDKR,Up,05/15/2025 09:52:22:453
314,103RDKR,Down,05/15/2025 10:04:03:062
315,103NDKR,Up,05/15/2025 10:04:06:593
316,C01TPR,Down,05/15/2025 10:10:51:812
317,111NDKR,Down,05/15/2025 10:11:02:453
318,111RDKR,Up,05/15/2025 10:11:05:328
319,H01TPR,Down,05/15/2025 10:13:20:828
320,16TPR,Down,05/15/2025 10:13:35:375
321,04_14TPR,Down,05/15/2025 10:13:45:281
322,101ATPR,Down,05/15/2025 10:13:59:578
323,C01TPR,Up,05/15/2025 10:14:16:562
324,H01TPR,Up,05/15/2025 10:14:27:281
325,111CTPR,Down,05/15/2025 10:14:31:703
326,UD_STBD.BPAC_VPR2,Up,05/15/2025 10:14:35:109
327,UD_STBD.BPAC_VPR1,Up,05/15/2025 10:14:35:296
328,16TPR,Up,05/15/2025 10:14:38:312
329,04_14TPR,Up,05/15/2025 10:15:00:328
330,111BTPR,Down,05/15/2025 10:15:07:125
331,111ATPR,Down,05/15/2025 10:15:15:500
332,101ATPR,Up,05/15/2025 10:15:20:078
333,01ATPR,Down,05/15/2025 10:15:24:000
334,01ATPR,Up,05/15/2025 10:15:24:015
335,01ATPR,Down,05/15/2025 10:15:24:031
336,01TPR,Down,05/15/2025 10:15:24:046
337,01BTPR,Down,05/15/2025 10:16:06:625
338,111CTPR,Up,05/15/2025 10:16:31:000
339,111BTPR,Up,05/15/2025 10:16:42:671
340,111ATPR,Up,05/15/2025 10:16:58:796
341,01CTPR,Down,05/15/2025 10:17:06:765
342,111RDKR,Down,05/15/2025 10:19:25:203
343,111NDKR,Up,05/15/2025 10:19:28:109
344,103BTPR,Up,05/15/2025 10:19:43:156
345,105NDKR,Down,05/15/2025 11:04:21:828
346,105RDKR,Up,05/15/2025 11:04:25:125
347,103NDKR,Down,05/15/2025 11:04:26:359
348,103RDKR,Up,05/15/2025 11:04:30:125
349,103RDKR,Down,05/15/2025 11:28:21:171
350,103NDKR,Up,05/15/2025 11:28:24:671
351,104NDKR,Down,05/15/2025 11:30:51:375
352,104RDKR,Up,05/15/2025 11:30:54:359
353,104ATPR,Down,05/15/2025 11:35:11:781
354,104BTPR,Down,05/15/2025 11:35:40:500
355,104ATPR,Up,05/15/2025 11:35:45:937
356,102BTPR,Down,05/15/2025 11:36:06:265
357,104BTPR,Up,05/15/2025 11:36:11:562
358,03_13TPR,Down,05/15/2025 11:36:27:171
359,102BTPR,Up,05/15/2025 11:36:32:671
360,104RDKR,Down,05/15/2025 11:36:38:500
361,104NDKR,Up,05/15/2025 11:36:41:562
362,102BTPR,Down,05/15/2025 11:38:39:125
363,03_13TPR,Up,05/15/2025 11:38:43:671
364,104BTPR,Down,05/15/2025 11:38:56:671
365,102BTPR,Up,05/15/2025 11:39:01:468
366,UD_STBD.BPAC_VPR2,Down,05/15/2025 11:39:13:593
367,UD_STBD.BPAC_VPR1,Down,05/15/2025 11:39:13:656
368,OMTPR,Down,05/15/2025 11:39:44:031
369,OMCTPR,Down,05/15/2025 11:39:44:046
370,104BTPR,Up,05/15/2025 11:39:48:687
371,102NDKR,Down,05/15/2025 11:40:18:890
372,102RDKR,Up,05/15/2025 11:40:21:906
373,101NDKR,Down,05/15/2025 11:40:25:234
374,101RDKR,Up,05/15/2025 11:40:28:734
375,OMBTPR,Down,05/15/2025 11:41:00:078
376,OMCTPR,Up,05/15/2025 11:41:04:687
377,OMATPR,Down,05/15/2025 11:42:13:203
378,OMBTPR,Up,05/15/2025 11:42:17:718
379,111BTPR,Down,05/15/2025 11:43:25:953
380,OMATPR,Up,05/15/2025 11:43:30:625
381,OMTPR,Up,05/15/2025 11:43:30:718
382,111CTPR,Down,05/15/2025 11:43:59:234
383,111CTPR,Up,05/15/2025 11:43:59:250
384,111CTPR,Down,05/15/2025 11:43:59:265
385,111BTPR,Up,05/15/2025 11:44:03:953
386,103BTPR,Down,05/15/2025 11:45:08:828
387,111CTPR,Up,05/15/2025 11:45:13:562
388,101ATPR,Down,05/15/2025 11:45:54:062
389,103BTPR,Up,05/15/2025 11:45:59:000
390,101BTPR,Down,05/15/2025 11:46:15:031
391,101ATPR,Up,05/15/2025 11:46:20:046
392,101BTPR,Up,05/15/2025 11:46:41:125
393,101RDKR,Down,05/15/2025 11:46:54:734
394,101NDKR,Up,05/15/2025 11:46:58:140
395,113NDKR,Down,05/15/2025 11:47:00:468
396,113RDKR,Up,05/15/2025 11:47:03:375
397,101BTPR,Down,05/15/2025 11:48:52:671
398,SLAC_U2_VPR,Down,05/15/2025 11:49:18:328
399,SLAC_VPR,Down,05/15/2025 11:49:18:343
400,SLAC_U1_VPR,Down,05/15/2025 11:49:18:468
401,101BTPR,Up,05/15/2025 11:49:25:531
402,113TPR,Down,05/15/2025 11:52:56:015
403,SLAC_U1_VPR,Up,05/15/2025 11:53:04:437
404,SLAC_U2_VPR,Up,05/15/2025 11:53:05:062
405,SLAC_VPR,Up,05/15/2025 11:53:05:156
406,111ATPR,Down,05/15/2025 11:53:09:078
407,113TPR,Up,05/15/2025 11:53:14:546
408,111ATPR,Up,05/15/2025 11:53:43:031
409,102RDKR,Down,05/15/2025 12:04:04:234
410,102NDKR,Up,05/15/2025 12:04:07:281
411,109RDKR,Down,05/15/2025 12:07:30:171
412,109NDKR,Up,05/15/2025 12:07:33:296
413,108NDKR,Down,05/15/2025 12:07:36:734
414,108RDKR,Up,05/15/2025 12:07:39:656
415,C01TPR,Down,05/15/2025 12:11:47:953
416,H01TPR,Down,05/15/2025 12:11:54:921
417,16TPR,Down,05/15/2025 12:12:02:703
418,04_14TPR,Down,05/15/2025 12:12:10:000
419,101ATPR,Down,05/15/2025 12:12:22:062
420,103BTPR,Down,05/15/2025 12:12:32:406
421,111CTPR,Down,05/15/2025 12:12:44:843
422,111CTPR,Up,05/15/2025 12:12:44:859
423,111CTPR,Down,05/15/2025 12:12:44:890
424,C01TPR,Up,05/15/2025 12:12:50:718
425,H01TPR,Up,05/15/2025 12:12:58:187
426,UD_STBD.BPAC_VPR2,Up,05/15/2025 12:13:03:234
427,UD_STBD.BPAC_VPR1,Up,05/15/2025 12:13:03:281
428,111BTPR,Down,05/15/2025 12:13:04:296
429,16TPR,Up,05/15/2025 12:13:05:187
430,OMATPR,Down,05/15/2025 12:13:13:937
431,OMTPR,Down,05/15/2025 12:13:13:953
432,04_14TPR,Up,05/15/2025 12:13:17:609
433,101ATPR,Up,05/15/2025 12:13:28:812
434,OMBTPR,Down,05/15/2025 12:13:35:640
435,103BTPR,Up,05/15/2025 12:13:42:484
436,OMCTPR,Down,05/15/2025 12:13:57:671
437,111CTPR,Up,05/15/2025 12:14:03:046
438,111BTPR,Up,05/15/2025 12:14:12:671
439,104BTPR,Down,05/15/2025 12:14:19:328
440,102BTPR,Down,05/15/2025 12:14:32:281
441,OMATPR,Up,05/15/2025 12:14:32:500
442,03_13TPR,Down,05/15/2025 12:14:36:953
443,15TPR,Down,05/15/2025 12:14:47:968
444,UD_GDRA.BPAC_VPR1,Down,05/15/2025 12:14:50:000
445,UD_GDRA.BPAC_VPR2,Down,05/15/2025 12:14:50:109
446,OMBTPR,Up,05/15/2025 12:14:51:078
447,UD_GDRA.BPAC_VPR,Down,05/15/2025 12:14:51:375
448,H02TPR,Down,05/15/2025 12:14:54:437
449,C02TPR,Down,05/15/2025 12:15:00:828
450,OMCTPR,Up,05/15/2025 12:15:10:171
451,OMTPR,Up,05/15/2025 12:15:10:265
452,104BTPR,Up,05/15/2025 12:15:22:296
453,102BTPR,Up,05/15/2025 12:15:27:156
454,03_13TPR,Up,05/15/2025 12:15:39:187
455,15TPR,Up,05/15/2025 12:15:46:218
456,H02TPR,Up,05/15/2025 12:15:53:328
457,C02TPR,Up,05/15/2025 12:15:59:453
458,UD_STBD.BPAC_VPR2,Down,05/15/2025 12:30:55:468
459,UD_STBD.BPAC_VPR1,Down,05/15/2025 12:30:55:609
460,UD_GDRA.BPAC_VPR1,Up,05/15/2025 12:43:34:781
461,UD_GDRA.BPAC_VPR2,Up,05/15/2025 12:43:34:937
462,UD_GDRA.BPAC_VPR,Up,05/15/2025 12:43:35:828
463,103NDKR,Down,05/15/2025 12:45:30:890
464,103RDKR,Up,05/15/2025 12:45:34:718
465,106RDKR,Down,05/15/2025 12:45:43:515
466,106NDKR,Up,05/15/2025 12:45:46:750
467,C01TPR,Down,05/15/2025 13:00:52:359
468,H01TPR,Down,05/15/2025 13:01:03:765
469,16TPR,Down,05/15/2025 13:01:18:328
470,04_14TPR,Down,05/15/2025 13:01:33:937
471,101ATPR,Down,05/15/2025 13:02:04:484
472,103BTPR,Down,05/15/2025 13:02:37:968
473,103ATPR,Down,05/15/2025 13:03:04:015
474,105BTPR,Down,05/15/2025 13:03:31:500
475,C01TPR,Up,05/15/2025 13:03:34:921
476,105ATPR,Down,05/15/2025 13:04:02:953
477,H01TPR,Up,05/15/2025 13:04:06:046
478,107BTPR,Down,05/15/2025 13:04:20:625
479,UD_STBD.BPAC_VPR2,Up,05/15/2025 13:04:26:921
480,UD_STBD.BPAC_VPR1,Up,05/15/2025 13:04:27:218
481,16TPR,Up,05/15/2025 13:04:34:656
482,107ATPR,Down,05/15/2025 13:04:35:828
483,GL1AC_U2_VPR,Down,05/15/2025 13:04:52:640
484,GL1AC_VPR,Down,05/15/2025 13:04:52:656
485,GL1AC_U1_VPR,Down,05/15/2025 13:04:53:515
486,04_14TPR,Up,05/15/2025 13:05:19:453
487,101ATPR,Up,05/15/2025 13:05:58:453
488,103BTPR,Up,05/15/2025 13:06:24:437
489,103ATPR,Up,05/15/2025 13:06:50:765
490,105BTPR,Up,05/15/2025 13:07:21:828
491,105ATPR,Up,05/15/2025 13:07:39:718
492,107BTPR,Up,05/15/2025 13:07:55:234
493,107ATPR,Up,05/15/2025 13:08:19:984
494,103RDKR,Down,05/15/2025 13:08:33:359
495,103NDKR,Up,05/15/2025 13:08:36:984
496,UD_STBD.BPAC_VPR2,Down,05/15/2025 13:13:38:718
497,UD_STBD.BPAC_VPR1,Down,05/15/2025 13:13:38:765
498,01CTPR,Up,05/15/2025 13:22:52:656
499,111ATPR,Down,05/15/2025 13:23:02:000
500,113TPR,Down,05/15/2025 13:23:34:703
501,SLAC_U1_VPR,Down,05/15/2025 13:23:45:000
502,SLAC_VPR,Down,05/15/2025 13:23:45:015
503,SLAC_U2_VPR,Down,05/15/2025 13:23:45:437
504,01BTPR,Up,05/15/2025 13:24:20:328
