SlNo,SIGNAL_NAME,SIGNAL_STATUS,SIGNAL_TIME
8122,C02TPR,Down,05/21/2025 15:49:14:000
8123,H02TPR,Down,05/21/2025 15:49:19:312
8124,15TPR,Down,05/21/2025 15:49:25:390
8125,C02TPR,Up,05/21/2025 15:49:31:625
8126,03_13TPR,Down,05/21/2025 15:49:31:625
8127,103BTPR,Down,05/21/2025 15:49:37:265
8128,H02TPR,Up,05/21/2025 15:49:38:765
8129,101ATPR,Up,05/21/2025 15:49:44:687
8130,UD_GDRA.BPAC_VPR2,Up,05/21/2025 15:49:45:953
8131,102BTPR,Down,05/21/2025 15:49:46:109
8132,UD_GDRA.BPAC_VPR1,Up,05/21/2025 15:49:46:125
8133,UD_GDRA.BPAC_VPR,Up,05/21/2025 15:49:47:171
8134,15TPR,Up,05/21/2025 15:49:49:687
8135,104BTPR,Down,05/21/2025 15:49:55:671
8136,104ATPR,Down,05/21/2025 15:50:06:687
8137,03_13TPR,Up,05/21/2025 15:50:11:578
8138,103ATPR,Down,05/21/2025 15:50:12:468
8139,01CTPR,Down,05/21/2025 15:50:18:453
8140,01TPR,Down,05/21/2025 15:50:18:453
8141,103BTPR,Up,05/21/2025 15:50:19:656
8142,102BTPR,Up,05/21/2025 15:50:20:125
8143,104BTPR,Up,05/21/2025 15:50:30:750
8144,104ATPR,Up,05/21/2025 15:50:43:046
8145,105BTPR,Down,05/21/2025 15:50:46:671
8146,103ATPR,Up,05/21/2025 15:50:53:734
8147,104RDKR,Down,05/21/2025 15:50:55:265
8148,01BTPR,Down,05/21/2025 15:50:56:843
8149,104NDKR,Up,05/21/2025 15:50:58:218
8150,105ATPR,Down,05/21/2025 15:51:26:406
8151,105BTPR,Up,05/21/2025 15:51:33:546
8152,01CTPR,Up,05/21/2025 15:51:38:531
8153,107BTPR,Down,05/21/2025 15:51:49:375
8154,105ATPR,Up,05/21/2025 15:51:56:687
8155,107BTPR,Up,05/21/2025 15:52:23:593
8156,103RDKR,Down,05/21/2025 15:52:48:468
8157,103NDKR,Up,05/21/2025 15:52:51:984
8158,104NDKR,Down,05/21/2025 15:52:56:000
8159,104RDKR,Up,05/21/2025 15:52:58:859
8160,01CTPR,Down,05/21/2025 16:01:42:796
8161,01BTPR,Up,05/21/2025 16:02:51:500
8162,104ATPR,Down,05/21/2025 16:03:04:062
8163,104BTPR,Down,05/21/2025 16:03:15:843
8164,102BTPR,Down,05/21/2025 16:03:26:921
8165,01CTPR,Up,05/21/2025 16:03:28:390
8166,01TPR,Up,05/21/2025 16:03:28:500
8167,03_13TPR,Down,05/21/2025 16:03:36:125
8168,104ATPR,Up,05/21/2025 16:03:41:000
8169,104BTPR,Up,05/21/2025 16:03:50:890
8170,15TPR,Down,05/21/2025 16:03:55:843
8171,102BTPR,Up,05/21/2025 16:03:58:890
8172,UD_GDRA.BPAC_VPR1,Down,05/21/2025 16:03:59:156
8173,UD_GDRA.BPAC_VPR2,Down,05/21/2025 16:03:59:343
8174,UD_GDRA.BPAC_VPR,Down,05/21/2025 16:04:00:609
8175,H02TPR,Down,05/21/2025 16:04:06:687
8176,104RDKR,Down,05/21/2025 16:04:13:640
8177,C02TPR,Down,05/21/2025 16:04:15:812
8178,03_13TPR,Up,05/21/2025 16:04:15:812
8179,104NDKR,Up,05/21/2025 16:04:16:562
8180,15TPR,Up,05/21/2025 16:04:23:578
8181,H02TPR,Up,05/21/2025 16:04:30:390
8182,C02TPR,Up,05/21/2025 16:04:35:734
8183,UD_GDRA.BPAC_VPR1,Up,05/21/2025 16:18:53:578
8184,UD_GDRA.BPAC_VPR2,Up,05/21/2025 16:18:53:937
8185,UD_GDRA.BPAC_VPR,Up,05/21/2025 16:18:54:734
8186,103NDKR,Down,05/21/2025 16:56:28:343
8187,103RDKR,Up,05/21/2025 16:56:32:000
8188,109RDKR,Down,05/21/2025 16:56:47:875
8189,109NDKR,Up,05/21/2025 16:56:50:984
8190,107BTPR,Down,05/21/2025 17:00:50:343
8191,105ATPR,Down,05/21/2025 17:01:12:750
8192,105BTPR,Down,05/21/2025 17:01:52:812
8193,103ATPR,Down,05/21/2025 17:02:43:750
8194,03BTPR,Up,05/21/2025 17:02:55:281
8195,103BTPR,Down,05/21/2025 17:03:12:390
8196,101ATPR,Down,05/21/2025 17:03:39:265
8197,04_14TPR,Down,05/21/2025 17:04:17:765
8198,16TPR,Down,05/21/2025 17:04:58:031
8199,UD_STBD.BPAC_VPR1,Down,05/21/2025 17:05:04:484
8200,UD_STBD.BPAC_VPR2,Down,05/21/2025 17:05:04:781
8201,107BTPR,Up,05/21/2025 17:05:11:109
8202,H01TPR,Down,05/21/2025 17:05:20:687
8203,105ATPR,Up,05/21/2025 17:05:24:953
8204,C01TPR,Down,05/21/2025 17:05:43:515
8205,105BTPR,Up,05/21/2025 17:05:47:687
8206,103ATPR,Up,05/21/2025 17:06:06:765
8207,103BTPR,Up,05/21/2025 17:06:26:796
8208,101ATPR,Up,05/21/2025 17:07:20:718
8209,105RDKR,Down,05/21/2025 17:07:34:234
8210,103RDKR,Down,05/21/2025 17:07:36:343
8211,105NDKR,Up,05/21/2025 17:07:37:640
8212,103NDKR,Up,05/21/2025 17:07:39:843
8213,04_14TPR,Up,05/21/2025 17:08:23:093
8214,16TPR,Up,05/21/2025 17:08:51:812
8215,H01TPR,Up,05/21/2025 17:09:13:625
8216,C01TPR,Up,05/21/2025 17:09:28:218
8217,UD_STBD.BPAC_VPR2,Up,05/21/2025 17:56:39:671
8218,UD_STBD.BPAC_VPR1,Up,05/21/2025 17:56:40:140
8219,UD_GDRA.BPAC_VPR1,Down,05/21/2025 21:10:00:046
8220,UD_GDRA.BPAC_VPR2,Down,05/21/2025 21:10:00:250
8221,UD_GDRA.BPAC_VPR,Down,05/21/2025 21:10:01:468
8222,C02TPR,Down,05/21/2025 21:32:26:515
8223,H02TPR,Down,05/21/2025 21:32:33:578
8224,15TPR,Down,05/21/2025 21:32:41:734
8225,03_13TPR,Down,05/21/2025 21:32:49:750
8226,102BTPR,Down,05/21/2025 21:33:03:046
8227,104BTPR,Down,05/21/2025 21:33:08:046
8228,OMTPR,Down,05/21/2025 21:33:20:750
8229,OMCTPR,Down,05/21/2025 21:33:20:765
8230,C02TPR,Up,05/21/2025 21:33:30:281
8231,H02TPR,Up,05/21/2025 21:33:36:359
8232,OMBTPR,Down,05/21/2025 21:33:39:078
8233,UD_GDRA.BPAC_VPR2,Up,05/21/2025 21:33:40:859
8234,UD_GDRA.BPAC_VPR1,Up,05/21/2025 21:33:40:906
8235,UD_GDRA.BPAC_VPR,Up,05/21/2025 21:33:42:140
8236,15TPR,Up,05/21/2025 21:33:42:359
8237,03_13TPR,Up,05/21/2025 21:33:52:296
8238,OMATPR,Down,05/21/2025 21:33:56:046
8239,102BTPR,Up,05/21/2025 21:33:56:421
8240,104BTPR,Up,05/21/2025 21:34:07:453
8241,111BTPR,Down,05/21/2025 21:34:13:093
8242,111CTPR,Down,05/21/2025 21:34:21:109
8243,OMCTPR,Up,05/21/2025 21:34:25:625
8244,103BTPR,Down,05/21/2025 21:34:37:921
8245,OMBTPR,Up,05/21/2025 21:34:43:546
8246,101ATPR,Down,05/21/2025 21:34:49:078
8247,04_14TPR,Down,05/21/2025 21:34:58:406
8248,OMATPR,Up,05/21/2025 21:35:01:531
8249,OMTPR,Up,05/21/2025 21:35:01:640
8250,16TPR,Down,05/21/2025 21:35:09:046
8251,111BTPR,Up,05/21/2025 21:35:09:875
8252,UD_STBD.BPAC_VPR1,Down,05/21/2025 21:35:10:937
8253,UD_STBD.BPAC_VPR2,Down,05/21/2025 21:35:10:984
8254,H01TPR,Down,05/21/2025 21:35:15:171
8255,C01TPR,Down,05/21/2025 21:35:21:296
8256,111CTPR,Up,05/21/2025 21:35:26:296
8257,103BTPR,Up,05/21/2025 21:35:36:796
8258,101ATPR,Up,05/21/2025 21:35:45:375
8259,04_14TPR,Up,05/21/2025 21:35:55:078
8260,16TPR,Up,05/21/2025 21:36:00:500
8261,H01TPR,Up,05/21/2025 21:36:06:750
8262,C01TPR,Up,05/21/2025 21:36:11:515
8263,UD_STBD.BPAC_VPR1,Up,05/21/2025 22:03:10:718
8264,UD_STBD.BPAC_VPR2,Up,05/21/2025 22:03:10:875
8265,UD_GDRA.BPAC_VPR1,Down,05/21/2025 22:33:30:359
8266,UD_GDRA.BPAC_VPR2,Down,05/21/2025 22:33:30:953
8267,UD_GDRA.BPAC_VPR,Down,05/21/2025 22:33:32:203
8268,C02TPR,Down,05/21/2025 22:56:33:375
8269,H02TPR,Down,05/21/2025 22:56:38:250
8270,15TPR,Down,05/21/2025 22:56:43:734
8271,03_13TPR,Down,05/21/2025 22:56:49:234
8272,102BTPR,Down,05/21/2025 22:56:58:281
8273,104BTPR,Down,05/21/2025 22:57:01:703
8274,OMTPR,Down,05/21/2025 22:57:11:218
